"","Document","Class"
"1","ad sale boost time warner profit quarterly profit media giant timewarner jump bn lrb rrb three month december yearearlier firm biggest investor google benefit sale highspeed internet connection higher advert sale timewarner fourth quarter sale rise bn bn profit buoy oneoff gain offset profit dip warner bros user aol time warner friday searchengine google internet business aol mix fortune lose subscriber fourth quarter profit lower precede three quarter company aol underlying profit exceptional item rise stronger internet advertising revenue hope increase subscriber offer online service free timewarner internet customer will sign aol exist customer highspeed broadband timewarner restate result follow probe securities exchange commission lrb rrb close conclude time warner fourth quarter profit better analyst expectation film division profit slump help boxoffice flop alexander catwoman sharp contrast yearearlier third final film lord ring trilogy boost result fullyear timewarner post profit bn performance revenue grow bn financial performance strong meeting exceed fullyear objective greatly enhance flexibility chairman chief executive richard parsons timewarner project operate earnings growth expect higher revenue wider profit margin timewarner restate account effort resolve inquiry aol market regulator offer pay settle charge deal review company unable estimate amount set legal reserve set intend adjust account deal german music publisher bertelsmann purchase stake aol europe report advertising revenue will book sale stake aol europe loss stake","business"
"2","dollar gain greenspan speech dollar hit highest level euro three month federal reserve head trade deficit set stabilise alan greenspan highlight government willingness curb spending rise household savings factor help reduce late trading york dollar reach euro thursday market concern deficit hit greenback month friday federal reserve chairman greenspan speech london ahead meeting finance minister send dollar higher earlier tumble worsethanexpected job datum chairman sanguine view current account deficit time robert sinche head currency strategy bank america york longerterm view lay set condition current account deficit improve year worry deficit concern china remain china currency remain peg dollar currency sharp fall month chinese export price highly competitive call shift beijing policy fall deaf ear despite comment major chinese newspaper time ripe loosening peg meeting produce meaningful movement chinese policy federal reserve decision february boost interest rate quarter point sixth move month open differential european rate halfpoint window asset attractive help prop dollar fall partly result big budget deficit well yawning current account gap fund buying bond asset foreign firm government white house will budget monday commentator deficit will remain close half trillion dollar","business"
"3","yukos unit buyer face loan claim owner embattled russian oil giant yukos buyer production unit pay lrb rrb loan stateowned rosneft buy yugansk unit bn sale force russia settle bn tax claim yukos yukos owner menatep group will rosneft repay loan yugansk secure asset rosneft face repayment demand foreign bank legal expert rosneft purchase yugansk include obligation pledge asset rosneft will pay real money creditor avoid seizure yugansk asset moscowbased lawyer jamie firestone connect case menatep group managing director tim osborne reuters news agency default will fight rule law exist international arbitration clause credit rosneft official unavailable comment company intend action menatep recover tax claim debt owe yugansk yukos file bankruptcy protection court attempt prevent forced sale main production arm sale ahead december yugansk sell littleknown shell company turn buy rosneft yukos claim downfall punishment political ambition founder mikhail khodorkovsky vow sue participant sale","business"
"4","high fuel price hit ba profit british airways blame high fuel price drop profit reporting result three month december airline pretax profit lrb rrb compare year earlier rod eddington ba chief executive result respectable third quarter fuel cost rise ba profit better market expectation expect rise fullyear revenue help offset increase price aviation fuel ba year introduce fuel surcharge passenger october increase oneway longhaul flight shorthaul surcharge raise leg aviation analyst mike powell dresdner kleinwort wasserstein ba estimate annual surcharge revenue will short additional fuel cost predict extra turnover quarter bn benefit rise cargo revenue ahead full year result march ba warn yield average revenue passenger expect decline continue lower price face competition lowcost carrier sale better forecast year march total revenue outlook better previous guidance improvement anticipate ba chairman martin broughton ba forecast rise fullyear revenue report friday passenger number rise january aviation analyst nick van den brul bnp paribas describe ba latest quarterly result pretty modest good revenue side impact fuel surcharge positive cargo development operate margin cost impact fuel strong september attack united states ba cut job major costcutting drive focus remain reduce controllable cost debt whilst continue invest product eddington example delivery airbus aircraft month will start improvement club flat bed ba share close pence pence","business"
"5","pernod takeover talk lift domecq share uk drink food firm allied domecq rise speculation target takeover france pernod ricard report wall street journal financial times french spirit firm consider bid contact target allied domecq share london rise gmt pernod share paris slip pernod seek acquisition refuse comment specifics pernod major purchase third giant seagram move propel global top three drink firm twothird seagram buy market leader diageo term market pernod bn euro lrb bn rrb smaller allied domecq capitalisation bn lrb bn bn euro rrb year pernod buy glenmorangie scotland premier whisky firm lose luxury goods firm lvmh pernod brand include chivas regal scotch whisky havana club rum jacob creek wine allied domecq big include malibu rum courvoisier brandy stolichnaya vodka ballantine whisky well snack food chain dunkin donuts baskinrobbins ice cream wsj ripe consolidation deal problematic portfolio pernod reduce debt fund seagram purchase bn euro allied improve performance fastfood chain","business"
"6","japan narrowly escape recession japan economy teeter brink technical recession three month september figure revise figure indicate growth similarsized contraction previous quarter annual basis datum annual growth hesitant recovery common technical definition recession successive quarter negative growth government keen play worrying implication datum maintain view japan economy remain minor adjustment phase upward climb will monitor development carefully economy minister heizo takenaka face strengthen yen export competitive indication weaken economic condition ahead observer sanguine paint picture recovery patchier paul sheard economist lehman brothers tokyo improvements job market feed domestic demand private consumption third quarter","business"
"7","jobs growth slow create fewer job expect january fall jobseeker push unemployment rate lowest level three year accord labor department figure firm add job january gain nonfarm payroll market expectation job push unemployment rate lowest level september job gain president bush celebrate albeit fine margin net growth job economy term office preside net fall job november presidential election president herbert hoover result job creation key issue year election add december january figure administration term job record positive territory labor department revise job gain december analyst growth job strong expect favourable economic condition employment continue expand moderate pace rick egelton deputy chief economist bmo financial group boost employment low dollar low interest rate environment economy produce moderate satisfying amount job growth ken mayland president clearview economics limited number opportunity worker","business"
"8","india call fair trade rule india attend meeting lead industrialised nation friday cow newcomer status london thursday ahead meeting india finance minister lash restrictive trade policy nation object subsidy agriculture hard develop nation india compete call reform united nations bank imf palaniappan chidambaram india finance minister argue organisation account change order india china integration global economy issue globalisation term engagement globalisation chidambaram attend meeting group nation account third population conference develop enterprise host uk finance minister gordon brown friday favour float exchange rate help country cope economic shock flexible exchange rate channel absorb positive negative shock conference india china brazil south africa russia invite meeting place london friday saturday china expect face renewed pressure abandon fixed exchange rate nation blame surge cheap chinese export country fixed exchange rate judgement chidambaram separately imf warn thursday india budget deficit large hamper country economic growth forecast year march year march indian economy grow","business"
"9","ethiopia crop production ethiopia produce tonne crop higher average year report crop production total tonne joint report food agriculture organisation food programme good rain increase fertilizer improve seed contribute rise production ethiopians will emergency assistance report calculate emergency food requirement tonne top tonne fortify blended food vegetable oil target supplementary food distribution survival programme child pregnant lactating woman will eastern southern ethiopia prolonged drought kill crop drain well year total tonne food assistance help ethiopians food agriculture organisation lrb fao rrb recommend food assistance buy locally local purchase cereal food assistance programme recommend assist domestic market farmer henri josserand chief fao global early warning system agriculture main economic activity ethiopia represent gross domestic product ethiopians depend directly indirectly agriculture","business"
"10","court reject bn tobacco case government claim accuse country biggest tobacco company cover smoking throw appeal court demand bn lrb bn rrb file clinton administration reject decision court washington find case bring federal antiracketeering law accuse altria group rj reynolds tobacco lorillard tobacco liggett group brown williamson case government claim tobacco firm manipulate nicotine level increase addiction target teenager multibillion dollar advertising campaign lie danger smoking ignore contrary prosecutor cigarette firm surrender bn profit accumulate year impose tougher rule market product court appeals district columbia rule government sue firm legislation draw counteract mafia infiltration business tobacco company deny illegally conspire promote smoking defraud public meet government demand landmark bn settlement reach state share tobacco company close higher ruling altria rise reynolds gain","business"
