Document,Class
top pops leaves bbc bbcs flagship pop music programme top pops move bbc fridays sundays bbc programme will combine archive totp mixing music footage classic bands corporation aims appeal diverse audience music lovers move biggest shakeup history broadcast bbc top pops relaunched blaze publicity december year attempt reverse longterm decline audience figures top pops fronted newcomer tim kash producer andi peters brought bbc channel revitalise series three people week watching fridays half total attracting mids programme popular itv soap coronation street despite relaunch audience figures failed rise remain three mark tim kash replaced host fearne cotton will launch spring year extended format bbc controller roly keating exciting era top pops bigger better ultimate pop music music lovers generation keating described bbc natural top pops addition top pops will extend bbc twos offering younger audiences bbc spokeswoman andi peters continue executive producer issues exact format programme time slot decided programme will close relationship bbc radio chart suggests relaunched transmitted sundays hopefully audience top pops will find bbc slot will create buzz programme time viewers will discover news number,entertainment
cage films third week top nicolas cage movie national treasure topped canada box office third week row national treasure ticket sales friday sunday studio estimates total comedy christmas kranks starring tim allen jamie lee curtis second place polar express entered third place jude law film closer debut number oliver stones bigbudget epic alexander starring colin farrell weeks disappointing sixthplace opening slump seventh place takings critics savaged threehour epic reportedly cost national treasure sees cages character ben gates chase hidden fortune disney studios cages fourth collaboration jerry bruckheimer maleorientated action films,entertainment
producers scoops stage awards producers beaten mary poppins battle blockbuster west musicals olivier awards producers won three prizes uks prestigious annual theatre awards mary poppins won mel brooks hit triumphed battle best musical mary poppins andrew lloyd webbers woman white alan bennetts history boys big winner straight theatre categories picking three trophies eyes musical prizes producers mary poppins woman white highprofile openings months producers nathan lane lastminute replacement richard dreyfuss beat costar lee evans win best musical actor lane left production smash hit broadway moving london won best musical performance supporting role conleth hill plays director roger debris mary poppins awards best choreography best musical actress star laura michelle kelly led nominations going sundays ceremony londons hilton hotel awards stage adaptations films history boys set grammar school early partly based bennetts experiences teacher named best play won best actor richard griffiths beat harry potter film costar michael gambon nominated endgame well jonathan pryce ben whishaw play won national theatre artistic director nicholas hytner best director bennett special award outstanding contribution british theatre dame judi dench starred alls well ends well gielgud lost best supporting role category amanda harris played emilia othello royal shakespeare company olivier awards handed society london best lighting design dark materials designed paule constable olivier best sound design woman white designed mick potter palace best opera lady macbeth mtsensk royal opera house outstanding achievement opera thomas ades royal opera house premiere tempest best costume design alls well ends well designed deirdre clancy gielgud best revival hamlet william shakespeare vic best set design dark materials designed giles cadle olivier outstanding musical production grand hotel donmar warehouse best supporting role musical conleth hill producers theatre royal drury lane best theatre choreographer matthew bourne stephen mear mary poppins prince edward best actor richard griffiths history boys lyttelton outstanding achievement performance affiliate theatre andrew scott girl car man jerwood theatre upstairs royal court best dance production rambert dance companys swamp sadlers wells outstanding achievement dance san francisco ballet season sadlers wells best performance supporting role amanda harris othello trafalgar studios best actress clare higgins hecuba donmar warehouse best musical actor nathan lane producers theatre royal drury lane best musical actress laura michelle kelly mary poppins prince edward best director nicholas hytner history boys lyttelton best play history boys alan bennett lyttelton best musical producers theatre royal drury lane special award alan bennett outstanding contribution british theatre,entertainment
paris promise raises welsh hopes better nations match saturdays epic paris welsh revival continue grand slam questions occupying wales supporters rugby fans scintillating display paris welsh legend mervyn davies member three grand slamwinning sides hailed great performances three decades martyn williams wales twotry scorer day called surreal games played crestfallen france coach bernard laporte simply observed french half welsh half half red dragonhood transforming halftime deficit lead mesmerising minutes second period passage play swelling selfbelief side prepared spirit adventure final quarter told lot welsh side recovered battering halfhour stem tide halftime reverse resumption remarkable resisting seemingly unstoppable wave french pressure nailbiting final minutes wales physical attributes mental resolve international rugby top sides beat day great sides win close contests consistent basis england suffered infamous nations disappointments en route cup glory pain defeat forging bonds ultimately led victory mattered wales remotely considered light signs players receiving learning emerge side scoreline ten duty saturday involved wales trounced paris years ago threw shackles zealand cup wales rediscovered great rugby nation place confidence squad building building cup young players class coach mike ruddock likes michael owen gethin jenkins dwayne peel gavin henson building strong cases inclusion summers lions tour zealand players stephen jones martyn williams shane williams gareth thomas proving youngsters upward curve jones superb manofthematch display observed happy camp ruddock thomas credit ensuring tribal regional divisions scarred welsh rugby extend national squad joie de vivre evident magical secondhalf spell paris stems style play wooed supporters england half innate attacking exuberance wales produced championship contemplating debris three consecutive defeats wales learnt style win matches forward power mental toughness good decisionmaking pressure equally murrayfield wales won three visits hype principality will overdrive players will set task beating scotland visit ireland finish start thinking emulating hallowed players writing names welsh legend,sport
giggs handed wales leading role ryan giggs will captain wales wins cap wednesdays friendly hungary cardiff john toshack game coach succeeding mark hughes admits surprised giggs reached landmark games played united proportionately wales toshack greatest welsh internationals cap appropriate captain giggs admits considered retirement international game targetting playing wales european championships manchester united wing revealed club manager sir alex ferguson talked extending wales career discussed international future sir alex urged carry giggs feels weight problems fit three years time will play european finals manager wanted play club country keen continue fit giggs admits wavering considering joining likes wales skipper gary speed united teammate paul scholes committing remaining years career club football giggs focussed making toshack era successful time hughes spent helm manchester united winger won cap yearold loss germany faces landmark appearance age giggs leading wales hungary chance will permanent successor speed toshack refused reveal sees giggs longterm option game appropriate ryan giggs will captain cap time toshack wednesday night toshack takes charge match replacing hughes giggs cap forward hope play lot times players feel start top players leading example wales well united seasons john things aiming build side experienced lads tournament euro event told john will european tournament will hopefully will lot happen hoping giggs personal future trafford air reach agreement contract manchester united offering extra year giggs seeking contract thing mind moment giggs period club concentrated ive heard suggestions hopefully twoyear deal offered sorted enjoying football united playing form enjoy massive games coming manchester city week everton cup tie ac milan champions league wales game john toshack time,sport
jones medals guilty antidoping agency wada chief dick pound marion jones stripped medals guilty banned substances victor conte balco laboratories claims american sprinter regularly drugs enhance performance guilty stripped medals banned years pound asked timescale medals pound issue international olympic committee ioc rules athletes stripped medals caught three years event jones won medals olympics denies drugs will legal action contes allegations balco laboratories firm centre widereaching investigation doping pound continued drugs going big disappointment lot people,sport
jobs growth slow created fewer jobs expected january fall jobseekers pushed unemployment rate lowest level three years labor department figures firms jobs january gain nonfarm payrolls market expectations jobs push unemployment rate lowest level september job gains president bush celebrate albeit fine margin net growth jobs economy term office presided net fall jobs novembers presidential election president herbert hoover result job creation key issue years election adding december januarys figures administrations term jobs record ended positive territory labor department revised jobs gains december analysts growth jobs strong expected favourable economic conditions suggests employment continuing expand moderate pace rick egelton deputy chief economist bmo financial group boost employment low dollar low interest rate environment economy producing moderate satisfying amount job growth ken mayland president clearview economics limited number opportunities workers,business
park sells days tickets scotlands biggest music festival sold record time months event held annual park festival takes place balado kinross july sold days lineup announced green day foo fighters keane acts lined appear event organisers revealed scots favourites travis well soulman james brown will appear year tickets sold weeks festival organisers confirmed twoday event sold geoff ellis ceo festival organisers big day years event promises best years sellout years event sell earlier expectations ellis extremely fans excited park absolutely place balado booked will deliver greatest events july acts will play stages weekend july brit award winners keane streets main attractions killers dance prodigy bill green day foo fighters played festival year oasis basement jaxx headline acts,entertainment
pirates profit motive men huge network internet software pirates drink die convicted bailey bbc news investigates network worked motivated involved called drink die dod network computer buffs derived pleasure cracking codes protecting copyrighted software windows share suggestion profited financially authorities britain united states considered software piracy dim view networks dod number socalled warez organisations operating internet october customs service began investigation dod networks razor risciso myth popz fourteen months customs coordinated series raids globe operation buccaneer seventy search warrants executed britain australia norway sweden finland people arrested worldwide leaders network americans john sankus internet nickname eriflleh hellfire spelt backwards richard berry kent kartadinata christopher tresco server based prestigious massachusetts institute technology mit longest jail sentence months handed sankus yearold philadelphia attorney paul mcnulty time john sankus technogang operated faceless internet thought caught wrong sentences follow send message entertaining beliefs invincibility man legal limbo britishborn australian hew raymond griffiths fighting extradition customs claimed griffiths dods leaders lawyer antony townsden told bbc news website laughable suggestion living welfare computer download software allegation groups coleader illusory technical skills crack codes called leader loudmouth wrote lot messageboard townsden committed crimes prosecuted australia claimed australian governments decision accept extradition request typical current acquiescent attitude griffiths expecting hear week outcome appeal decision extradite involved internet aliases tags graffiti artists brag codecracking abilities real identities alex bell trial bailey ended friday computer device codefendant steven dowds nickname curiously tim spokesman immigration customs enforcement dean boyd dod appear motivated money motivation kudos surrounded crack sophisticated software told bbc news website interested fast crack code underground notoriety boyd pointed software distributed internet fell hands organised criminals mass produce pirated software cost cost industries lot money billions dollars boyd global scope raided number universities including duke north carolina mit people involved employed major computer corporations work evenings involved warez culture warez groups began surface early operate strict code honour example group cracked software rivals respect achievement seek claim boyd destruction dod great coup going sit sorted problem hackers people fun internet piracy computer software remains gigantic problem spokesman business software alliance dod members claim profit profit access expensive servers dod warez groups fostering culture piracy internet computer software britain believed pirated cost bn revenue software companies suppliers distributors victimless crime touches people care,tech
prodigy join festival lineup essex prodigy headline second stage years festival joining main stage headliners scissor sisters franz ferdinand event year will held venues hylands park essex weston park staffordshire august rock veterans order joined park lineup alongside athlete green day manchester band will play july scotlands biggest festival will debut performance music event held weekend july balado kinross bands soldout festival include queens stone age killers keane streets foo fighters month festival prodigy will play weston park saturday august hylands park sunday august chemical brothers vice versa will chemical brothers uk festival performance year festival director bob angus prodigy chemical brothers confirmed headline second stage headed stellar lineup pride putting unbeatable live music experience festival will disappoint tickets festival sale friday march,entertainment
